x,y,score,row_id,region,x_min,x_max,y_min,y_max
16164.397,18604.16,0.0413661538825471,65842,Bottom-middle,14100,17500,16300,19000
16165.819,17166.363,0.0791286746509342,55119,Bottom-middle,14100,17500,16300,19000
16165.876,16436.914,-0.0525907989948902,54274,Bottom-middle,14100,17500,16300,19000
16169.877,17338.844,0.138940007413236,55321,Bottom-middle,14100,17500,16300,19000
16172.505,18671.877,0.158461193196172,65946,Bottom-middle,14100,17500,16300,19000
16173.886,17366.396,0.196404653987455,55364,Bottom-middle,14100,17500,16300,19000
16174.42,17038.412,0.0293799565213326,54978,Bottom-middle,14100,17500,16300,19000
16175.642,17606.19,0.070036142328645,55600,Bottom-middle,14100,17500,16300,19000
16179.628,18538.861,0.0415189625994065,65726,Bottom-middle,14100,17500,16300,19000
16180.424,18903.744,0.0645196397542428,66408,Bottom-middle,14100,17500,16300,19000
16188.369,17752.547,0.0538165613486672,55729,Bottom-middle,14100,17500,16300,19000
16191.979,18451.738,-0.0285423697581826,65605,Bottom-middle,14100,17500,16300,19000
16192.274,16970.742,0.111864730818333,54905,Bottom-middle,14100,17500,16300,19000
16193.549,16820.025,0.0536446886462208,54713,Bottom-middle,14100,17500,16300,19000
16193.585,17440.797,0.246395007204457,55437,Bottom-middle,14100,17500,16300,19000
16195.416,17495.76,-0.081709117040818,55494,Bottom-middle,14100,17500,16300,19000
16195.997,18695.65,0.0606656420173961,66005,Bottom-middle,14100,17500,16300,19000
16198.555,17284.002,0.168223345994641,55263,Bottom-middle,14100,17500,16300,19000
16199.295,17699.506,0.0684812075109688,55689,Bottom-middle,14100,17500,16300,19000
16203.114,17227.912,0.273534580402581,55193,Bottom-middle,14100,17500,16300,19000
16203.144,17730.9,-0.0547707851963153,55718,Bottom-middle,14100,17500,16300,19000
16204.356,18027.256,-0.207176448351279,65157,Bottom-middle,14100,17500,16300,19000
16205.108,18590.666,0.317748766377082,65806,Bottom-middle,14100,17500,16300,19000
16206.877,18889.578,0.286095641795696,66364,Bottom-middle,14100,17500,16300,19000
16211.051,17016.28,0.130173952691891,54962,Bottom-middle,14100,17500,16300,19000
16211.101,17538.488,-0.0855117002076856,55542,Bottom-middle,14100,17500,16300,19000
16211.494,18672.818,0.192212209647435,65952,Bottom-middle,14100,17500,16300,19000
16212.86,18164.861,0.00676708646349865,65271,Bottom-middle,14100,17500,16300,19000
16214.765,18767.998,0.291582542580425,66147,Bottom-middle,14100,17500,16300,19000
16217.581,17311.082,0.0165084007623838,55296,Bottom-middle,14100,17500,16300,19000
16219.711,18473.188,-0.274719867249502,65625,Bottom-middle,14100,17500,16300,19000
16220.442,17370.271,0.19927542655981,55356,Bottom-middle,14100,17500,16300,19000
16220.68,18721.762,0.157191788257753,66053,Bottom-middle,14100,17500,16300,19000
16224.005,18409.271,-0.244411922872094,65541,Bottom-middle,14100,17500,16300,19000
16227.016,16961.773,0.0850076620392033,54895,Bottom-middle,14100,17500,16300,19000
16229.851,18909.104,0.334850434220452,66419,Bottom-middle,14100,17500,16300,19000
16232.686,17473.617,-0.0344211654000558,55473,Bottom-middle,14100,17500,16300,19000
16233.173,17589.766,0.044163426943764,55582,Bottom-middle,14100,17500,16300,19000
16235.389,18060.182,-0.14742650086439,65170,Bottom-middle,14100,17500,16300,19000
16236.734,18684.404,0.279783742036022,65963,Bottom-middle,14100,17500,16300,19000
16237.64,18379.676,-0.0912014506404603,65477,Bottom-middle,14100,17500,16300,19000
16238.467,17622.11,0.0785442961350281,55609,Bottom-middle,14100,17500,16300,19000
16239.2705,18892.35,0.357514580923308,66350,Bottom-middle,14100,17500,16300,19000
16241.263,16720.033,-0.0981785658852303,54585,Bottom-middle,14100,17500,16300,19000
16241.978,17210.46,0.109136956997155,55166,Bottom-middle,14100,17500,16300,19000
16242.223,17173.256,0.22582251552208,55129,Bottom-middle,14100,17500,16300,19000
16243.389,17509.896,0.0443656193413048,55516,Bottom-middle,14100,17500,16300,19000
16243.698,16626.762,-0.151027011590199,54485,Bottom-middle,14100,17500,16300,19000
16245.555,17717.293,0.132669875048472,55700,Bottom-middle,14100,17500,16300,19000
16248.236,17066.68,0.18020520092431,55016,Bottom-middle,14100,17500,16300,19000
16251.315,16356.095,-0.137468176283242,54216,Bottom-middle,14100,17500,16300,19000
16252.096,18601.266,0.021148283965191,65833,Bottom-middle,14100,17500,16300,19000
16252.927,16895.412,0.02773282503957,54819,Bottom-middle,14100,17500,16300,19000
16257.747,17335.418,0.103537425392257,55322,Bottom-middle,14100,17500,16300,19000
16258.085,18852.467,0.161861857040311,66300,Bottom-middle,14100,17500,16300,19000
16258.728,17928.955,-0.0379575155297182,55886,Bottom-middle,14100,17500,16300,19000
16260.656,16419.43,-0.113190770217169,54296,Bottom-middle,14100,17500,16300,19000
16264.229,17387.691,0.276492425763431,55386,Bottom-middle,14100,17500,16300,19000
16266.113,18940.518,0.117982750017333,66500,Bottom-middle,14100,17500,16300,19000
16268.008,17455.486,0.118292577251621,55455,Bottom-middle,14100,17500,16300,19000
16269.665,18176.502,0.0172020345394044,65277,Bottom-middle,14100,17500,16300,19000
16272.846,17132.049,0.00417517225232044,55090,Bottom-middle,14100,17500,16300,19000
16273.874,17699.334,0.0529349489976876,55680,Bottom-middle,14100,17500,16300,19000
16276.343,17496.05,0.0851993625588903,55501,Bottom-middle,14100,17500,16300,19000
16276.734,17613.23,0.0237657823902036,55601,Bottom-middle,14100,17500,16300,19000
16276.787,18613.973,-0.0275029018037689,65856,Bottom-middle,14100,17500,16300,19000
16280.828,17755.146,-0.0513070201246114,55734,Bottom-middle,14100,17500,16300,19000
16281.529,17334.168,0.144949290965582,55318,Bottom-middle,14100,17500,16300,19000
16283.675,17642.86,0.130744469333813,55623,Bottom-middle,14100,17500,16300,19000
16283.746,18714.953,-0.0151247062728324,66037,Bottom-middle,14100,17500,16300,19000
16284.249,16961.078,-0.0824484426596097,54896,Bottom-middle,14100,17500,16300,19000
16286.742,17097.723,0.0332291475352905,55053,Bottom-middle,14100,17500,16300,19000
16288.413,18855.195,0.120726004751802,66301,Bottom-middle,14100,17500,16300,19000
16289.016,17068.201,0.0770178186816679,55017,Bottom-middle,14100,17500,16300,19000
16290.271,17162.426,0.103060088175896,55120,Bottom-middle,14100,17500,16300,19000
16290.589,16918.652,0.0843049459754106,54845,Bottom-middle,14100,17500,16300,19000
16293.113,18881.02,0.261592695503564,66365,Bottom-middle,14100,17500,16300,19000
